iter	Passed	Remaining
0	1	39
1	2	36
2	3	32
3	5	33
4	6	31
5	7	30
6	8	29
7	10	28
8	11	27
9	12	25
10	14	24
11	15	22
12	16	21
13	17	20
14	18	18
15	19	17
16	21	16
17	22	15
18	23	13
19	25	12
20	26	11
21	27	9
22	28	8
23	30	7
24	31	6
25	33	5
26	34	3
27	35	2
28	37	1
29	38	0
